"Sample_name"	"DNA_vs_RNA"	"Time_point"	"Metabolic_treatment"	"Replicate_number"	"kegg_ID"	"TPM"
"Nitrifying_Week8_Aerobic_rep2_RNA"	"RNA"	"Week 8"	"Aerobic"	"2"	"K00382; dihydrolipoamide dehydrogenase
[EC:1.8.1.4]"	17.362
"Nitrifying_Week8_Aerobic_rep3_RNA"	"RNA"	"Week 8"	"Aerobic"	"3"	"K00382; dihydrolipoamide dehydrogenase
[EC:1.8.1.4]"	20.31
"Nitrifying_Week8_Ironreduction_rep3_RNA"	"RNA"	"Week 8"	"Iron reduction"	"3"	"K00382; dihydrolipoamide dehydrogenase
[EC:1.8.1.4]"	17.458
"Nitrifying_Week8_Nitratereduction_rep1_RNA"	"RNA"	"Week 8"	"Nitrate reduction"	"1"	"K00382; dihydrolipoamide dehydrogenase
[EC:1.8.1.4]"	163.064
"Nitrifying_Week8_Nitratereduction_rep2_RNA"	"RNA"	"Week 8"	"Nitrate reduction"	"2"	"K00382; dihydrolipoamide dehydrogenase
[EC:1.8.1.4]"	38.762
"Nitrifying_Week8_Sulphatereduction_rep1_RNA"	"RNA"	"Week 8"	"Sulphate reduction"	"1"	"K00382; dihydrolipoamide dehydrogenase
[EC:1.8.1.4]"	35.809
"Nitrifying_Week8_Sulphatereduction_rep2_RNA"	"RNA"	"Week 8"	"Sulphate reduction"	"2"	"K00382; dihydrolipoamide dehydrogenase
[EC:1.8.1.4]"	201.969
"Nitrifying_Week8_Sulphatereduction_rep3_RNA"	"RNA"	"Week 8"	"Sulphate reduction"	"3"	"K00382; dihydrolipoamide dehydrogenase
[EC:1.8.1.4]"	299.884
"Nitrifying_Day0_rep1_DNA"	"DNA"	"Week 0"	"Inoculum"	"1"	"K01915; glutamine synthetase [EC:6.3.1.2]"	415.872
"Nitrifying_Day0_rep2_DNA"	"DNA"	"Week 0"	"Inoculum"	"2"	"K01915; glutamine synthetase [EC:6.3.1.2]"	406.937
