"Sample_name"	"DNA_vs_RNA"	"Time_point"	"Metabolic_treatment"	"Replicate_number"	"kegg_ID"	"TPM"	"kegg_ID_custom_order"
"Nitrifying_Week4_Aerobic_rep2_DNA"	"DNA"	"Week 4"	"Aerobic"	"2"	"K10945; methane/ammonia monooxygenase subunit B"	163.424909177927	"K10945; methane/ammonia monooxygenase subunit B"
"Nitrifying_Week4_Aerobic_rep3_DNA"	"DNA"	"Week 4"	"Aerobic"	"3"	"K10945; methane/ammonia monooxygenase subunit B"	33.1291179100987	"K10945; methane/ammonia monooxygenase subunit B"
"Nitrifying_Week4_Ironreduction_rep1_DNA"	"DNA"	"Week 4"	"Iron reduction"	"1"	"K10945; methane/ammonia monooxygenase subunit B"	470.629000124283	"K10945; methane/ammonia monooxygenase subunit B"
"Nitrifying_Week4_Ironreduction_rep2_DNA"	"DNA"	"Week 4"	"Iron reduction"	"2"	"K10945; methane/ammonia monooxygenase subunit B"	463.64955588396	"K10945; methane/ammonia monooxygenase subunit B"
"Nitrifying_Week4_Ironreduction_rep3_DNA"	"DNA"	"Week 4"	"Iron reduction"	"3"	"K10945; methane/ammonia monooxygenase subunit B"	513.837249429743	"K10945; methane/ammonia monooxygenase subunit B"
"Nitrifying_Week4_Nitratereduction_rep1_DNA"	"DNA"	"Week 4"	"Nitrate reduction"	"1"	"K10945; methane/ammonia monooxygenase subunit B"	249.614637831451	"K10945; methane/ammonia monooxygenase subunit B"
"Nitrifying_Week4_Nitratereduction_rep2_DNA"	"DNA"	"Week 4"	"Nitrate reduction"	"2"	"K10945; methane/ammonia monooxygenase subunit B"	307.511543674301	"K10945; methane/ammonia monooxygenase subunit B"
"Nitrifying_Week4_Sulphatereduction_rep1_DNA"	"DNA"	"Week 4"	"Sulphate reduction"	"1"	"K10945; methane/ammonia monooxygenase subunit B"	396.88598885751	"K10945; methane/ammonia monooxygenase subunit B"
"Nitrifying_Week4_Sulphatereduction_rep2_DNA"	"DNA"	"Week 4"	"Sulphate reduction"	"2"	"K10945; methane/ammonia monooxygenase subunit B"	282.15252858579	"K10945; methane/ammonia monooxygenase subunit B"
"Nitrifying_Week4_Sulphatereduction_rep3_DNA"	"DNA"	"Week 4"	"Sulphate reduction"	"3"	"K10945; methane/ammonia monooxygenase subunit B"	247.166604872656	"K10945; methane/ammonia monooxygenase subunit B"
"Nitrifying_Week8_Aerobic_rep1_DNA"	"DNA"	"Week 8"	"Aerobic"	"1"	"K10945; methane/ammonia monooxygenase subunit B"	84.0840873926499	"K10945; methane/ammonia monooxygenase subunit B"
"Nitrifying_Week8_Aerobic_rep2_DNA"	"DNA"	"Week 8"	"Aerobic"	"2"	"K10945; methane/ammonia monooxygenase subunit B"	92.1859050247026	"K10945; methane/ammonia monooxygenase subunit B"
"Nitrifying_Week8_Aerobic_rep3_DNA"	"DNA"	"Week 8"	"Aerobic"	"3"	"K10945; methane/ammonia monooxygenase subunit B"	69.258503100082	"K10945; methane/ammonia monooxygenase subunit B"
"Nitrifying_Week8_Ironreduction_rep1_DNA"	"DNA"	"Week 8"	"Iron reduction"	"1"	"K10945; methane/ammonia monooxygenase subunit B"	412.848728187897	"K10945; methane/ammonia monooxygenase subunit B"
"Nitrifying_Week8_Ironreduction_rep2_DNA"	"DNA"	"Week 8"	"Iron reduction"	"2"	"K10945; methane/ammonia monooxygenase subunit B"	428.363036381559	"K10945; methane/ammonia monooxygenase subunit B"
"Nitrifying_Week8_Ironreduction_rep3_DNA"	"DNA"	"Week 8"	"Iron reduction"	"3"	"K10945; methane/ammonia monooxygenase subunit B"	507.022159714038	"K10945; methane/ammonia monooxygenase subunit B"
"Nitrifying_Week8_Nitratereduction_rep1_DNA"	"DNA"	"Week 8"	"Nitrate reduction"	"1"	"K10945; methane/ammonia monooxygenase subunit B"	234.50899530584	"K10945; methane/ammonia monooxygenase subunit B"
"Nitrifying_Week8_Nitratereduction_rep2_DNA"	"DNA"	"Week 8"	"Nitrate reduction"	"2"	"K10945; methane/ammonia monooxygenase subunit B"	233.432200783992	"K10945; methane/ammonia monooxygenase subunit B"
"Nitrifying_Week8_Nitratereduction_rep3_DNA"	"DNA"	"Week 8"	"Nitrate reduction"	"3"	"K10945; methane/ammonia monooxygenase subunit B"	376.56511721756	"K10945; methane/ammonia monooxygenase subunit B"
"Nitrifying_Week8_Sulphatereduction_rep1_DNA"	"DNA"	"Week 8"	"Sulphate reduction"	"1"	"K10945; methane/ammonia monooxygenase subunit B"	420.246830243812	"K10945; methane/ammonia monooxygenase subunit B"
"Nitrifying_Week8_Sulphatereduction_rep2_DNA"	"DNA"	"Week 8"	"Sulphate reduction"	"2"	"K10945; methane/ammonia monooxygenase subunit B"	464.89647033766	"K10945; methane/ammonia monooxygenase subunit B"
"Nitrifying_Week8_Sulphatereduction_rep3_DNA"	"DNA"	"Week 8"	"Sulphate reduction"	"3"	"K10945; methane/ammonia monooxygenase subunit B"	334.058998962758	"K10945; methane/ammonia monooxygenase subunit B"
"Nitrifying_Day0_rep1_RNA"	"RNA"	"Week 0"	"Inoculum"	"1"	"K10945; methane/ammonia monooxygenase subunit B"	991.383062903493	"K10945; methane/ammonia monooxygenase subunit B"
"Nitrifying_Day0_rep2_RNA"	"RNA"	"Week 0"	"Inoculum"	"2"	"K10945; methane/ammonia monooxygenase subunit B"	1139.52484897716	"K10945; methane/ammonia monooxygenase subunit B"
"Nitrifying_Day0_rep3_RNA"	"RNA"	"Week 0"	"Inoculum"	"3"	"K10945; methane/ammonia monooxygenase subunit B"	1080.85978193914	"K10945; methane/ammonia monooxygenase subunit B"
"Nitrifying_Week4_Aerobic_rep1_RNA"	"RNA"	"Week 4"	"Aerobic"	"1"	"K10945; methane/ammonia monooxygenase subunit B"	31.325235336105	"K10945; methane/ammonia monooxygenase subunit B"
"Nitrifying_Week4_Aerobic_rep2_RNA"	"RNA"	"Week 4"	"Aerobic"	"2"	"K10945; methane/ammonia monooxygenase subunit B"	315.930315368128	"K10945; methane/ammonia monooxygenase subunit B"
"Nitrifying_Week4_Aerobic_rep3_RNA"	"RNA"	"Week 4"	"Aerobic"	"3"	"K10945; methane/ammonia monooxygenase subunit B"	482.886471826318	"K10945; methane/ammonia monooxygenase subunit B"
"Nitrifying_Week4_Ironreduction_rep1_RNA"	"RNA"	"Week 4"	"Iron reduction"	"1"	"K10945; methane/ammonia monooxygenase subunit B"	36.4198101906251	"K10945; methane/ammonia monooxygenase subunit B"
"Nitrifying_Week4_Ironreduction_rep2_RNA"	"RNA"	"Week 4"	"Iron reduction"	"2"	"K10945; methane/ammonia monooxygenase subunit B"	46.3127222238398	"K10945; methane/ammonia monooxygenase subunit B"
"Nitrifying_Week4_Ironreduction_rep3_RNA"	"RNA"	"Week 4"	"Iron reduction"	"3"	"K10945; methane/ammonia monooxygenase subunit B"	234.83467748758	"K10945; methane/ammonia monooxygenase subunit B"
"Nitrifying_Week4_Nitratereduction_rep1_RNA"	"RNA"	"Week 4"	"Nitrate reduction"	"1"	"K10945; methane/ammonia monooxygenase subunit B"	138.881447190926	"K10945; methane/ammonia monooxygenase subunit B"
"Nitrifying_Week4_Nitratereduction_rep2_RNA"	"RNA"	"Week 4"	"Nitrate reduction"	"2"	"K10945; methane/ammonia monooxygenase subunit B"	35.0337620729	"K10945; methane/ammonia monooxygenase subunit B"
"Nitrifying_Week4_Sulphatereduction_rep1_RNA"	"RNA"	"Week 4"	"Sulphate reduction"	"1"	"K10945; methane/ammonia monooxygenase subunit B"	62.7054188976807	"K10945; methane/ammonia monooxygenase subunit B"
"Nitrifying_Week4_Sulphatereduction_rep2_RNA"	"RNA"	"Week 4"	"Sulphate reduction"	"2"	"K10945; methane/ammonia monooxygenase subunit B"	240.863684193955	"K10945; methane/ammonia monooxygenase subunit B"
"Nitrifying_Week8_Aerobic_rep1_RNA"	"RNA"	"Week 8"	"Aerobic"	"1"	"K10945; methane/ammonia monooxygenase subunit B"	10.2282458216235	"K10945; methane/ammonia monooxygenase subunit B"
"Nitrifying_Week8_Aerobic_rep2_RNA"	"RNA"	"Week 8"	"Aerobic"	"2"	"K10945; methane/ammonia monooxygenase subunit B"	15.0584415753984	"K10945; methane/ammonia monooxygenase subunit B"
"Nitrifying_Week8_Aerobic_rep3_RNA"	"RNA"	"Week 8"	"Aerobic"	"3"	"K10945; methane/ammonia monooxygenase subunit B"	14.937967904561	"K10945; methane/ammonia monooxygenase subunit B"
"Nitrifying_Week8_Ironreduction_rep3_RNA"	"RNA"	"Week 8"	"Iron reduction"	"3"	"K10945; methane/ammonia monooxygenase subunit B"	119.217364234495	"K10945; methane/ammonia monooxygenase subunit B"
"Nitrifying_Week8_Nitratereduction_rep1_RNA"	"RNA"	"Week 8"	"Nitrate reduction"	"1"	"K10945; methane/ammonia monooxygenase subunit B"	161.054941045906	"K10945; methane/ammonia monooxygenase subunit B"
"Nitrifying_Week8_Nitratereduction_rep2_RNA"	"RNA"	"Week 8"	"Nitrate reduction"	"2"	"K10945; methane/ammonia monooxygenase subunit B"	284.086876277776	"K10945; methane/ammonia monooxygenase subunit B"
"Nitrifying_Week8_Sulphatereduction_rep1_RNA"	"RNA"	"Week 8"	"Sulphate reduction"	"1"	"K10945; methane/ammonia monooxygenase subunit B"	32.9815857056272	"K10945; methane/ammonia monooxygenase subunit B"
"Nitrifying_Week8_Sulphatereduction_rep2_RNA"	"RNA"	"Week 8"	"Sulphate reduction"	"2"	"K10945; methane/ammonia monooxygenase subunit B"	77.3109250250359	"K10945; methane/ammonia monooxygenase subunit B"
"Nitrifying_Week8_Sulphatereduction_rep3_RNA"	"RNA"	"Week 8"	"Sulphate reduction"	"3"	"K10945; methane/ammonia monooxygenase subunit B"	113.18764189452	"K10945; methane/ammonia monooxygenase subunit B"
"Nitrifying_Day0_rep1_DNA"	"DNA"	"Week 0"	"Inoculum"	"1"	"K10946; methane/ammonia monooxygenase subunit C"	2161.17948188666	"K10946; methane/ammonia monooxygenase subunit C"
"Nitrifying_Day0_rep2_DNA"	"DNA"	"Week 0"	"Inoculum"	"2"	"K10946; methane/ammonia monooxygenase subunit C"	2238.92767750482	"K10946; methane/ammonia monooxygenase subunit C"
"Nitrifying_Day0_rep3_DNA"	"DNA"	"Week 0"	"Inoculum"	"3"	"K10946; methane/ammonia monooxygenase subunit C"	2344.86623320815	"K10946; methane/ammonia monooxygenase subunit C"
"Nitrifying_Week4_Aerobic_rep1_DNA"	"DNA"	"Week 4"	"Aerobic"	"1"	"K10946; methane/ammonia monooxygenase subunit C"	95.5705710001411	"K10946; methane/ammonia monooxygenase subunit C"
"Nitrifying_Week4_Aerobic_rep2_DNA"	"DNA"	"Week 4"	"Aerobic"	"2"	"K10946; methane/ammonia monooxygenase subunit C"	617.970056722479	"K10946; methane/ammonia monooxygenase subunit C"
"Nitrifying_Week4_Aerobic_rep3_DNA"	"DNA"	"Week 4"	"Aerobic"	"3"	"K10946; methane/ammonia monooxygenase subunit C"	117.190361248229	"K10946; methane/ammonia monooxygenase subunit C"
"Nitrifying_Week4_Ironreduction_rep1_DNA"	"DNA"	"Week 4"	"Iron reduction"	"1"	"K10946; methane/ammonia monooxygenase subunit C"	1758.72580488375	"K10946; methane/ammonia monooxygenase subunit C"
"Nitrifying_Week4_Ironreduction_rep2_DNA"	"DNA"	"Week 4"	"Iron reduction"	"2"	"K10946; methane/ammonia monooxygenase subunit C"	1733.67496874364	"K10946; methane/ammonia monooxygenase subunit C"
"Nitrifying_Week4_Ironreduction_rep3_DNA"	"DNA"	"Week 4"	"Iron reduction"	"3"	"K10946; methane/ammonia monooxygenase subunit C"	2018.95656789356	"K10946; methane/ammonia monooxygenase subunit C"
"Nitrifying_Week4_Nitratereduction_rep1_DNA"	"DNA"	"Week 4"	"Nitrate reduction"	"1"	"K10946; methane/ammonia monooxygenase subunit C"	965.453520898895	"K10946; methane/ammonia monooxygenase subunit C"
"Nitrifying_Week4_Nitratereduction_rep2_DNA"	"DNA"	"Week 4"	"Nitrate reduction"	"2"	"K10946; methane/ammonia monooxygenase subunit C"	1208.68536103431	"K10946; methane/ammonia monooxygenase subunit C"
"Nitrifying_Week4_Sulphatereduction_rep1_DNA"	"DNA"	"Week 4"	"Sulphate reduction"	"1"	"K10946; methane/ammonia monooxygenase subunit C"	1488.65500823952	"K10946; methane/ammonia monooxygenase subunit C"
"Nitrifying_Week4_Sulphatereduction_rep2_DNA"	"DNA"	"Week 4"	"Sulphate reduction"	"2"	"K10946; methane/ammonia monooxygenase subunit C"	1084.98983381171	"K10946; methane/ammonia monooxygenase subunit C"
"Nitrifying_Week4_Sulphatereduction_rep3_DNA"	"DNA"	"Week 4"	"Sulphate reduction"	"3"	"K10946; methane/ammonia monooxygenase subunit C"	952.320844103735	"K10946; methane/ammonia monooxygenase subunit C"
