"Sample_name"	"Time_point"	"Metabolic_treatment"	"Replicate_number"	"Genome bin"	"percent"
"Nitrifying_Week8_Aerobic_rep1_RNA"	"Week 8"	"Aerobic"	1	"MEGAHIT-MetaBAT2Refined-group-2.27"	1.19749634246219
"Nitrifying_Week8_Aerobic_rep2_RNA"	"Week 8"	"Aerobic"	2	"MEGAHIT-MetaBAT2Refined-group-2.27"	1.22258233075672
"Nitrifying_Week8_Aerobic_rep3_RNA"	"Week 8"	"Aerobic"	3	"MEGAHIT-MetaBAT2Refined-group-2.27"	0.011584050084942
"Nitrifying_Week8_Ironreduction_rep3_RNA"	"Week 8"	"Iron reduction"	3	"MEGAHIT-MetaBAT2Refined-group-2.27"	0.0289453212252852
"Nitrifying_Week8_Nitratereduction_rep1_RNA"	"Week 8"	"Nitrate reduction"	1	"MEGAHIT-MetaBAT2Refined-group-2.27"	0.00792900183610148
"Nitrifying_Week8_Nitratereduction_rep2_RNA"	"Week 8"	"Nitrate reduction"	2	"MEGAHIT-MetaBAT2Refined-group-2.27"	0.123352117257189
"Nitrifying_Week8_Sulphatereduction_rep1_RNA"	"Week 8"	"Sulphate reduction"	1	"MEGAHIT-MetaBAT2Refined-group-2.27"	0.00974035611852586
"Nitrifying_Week8_Sulphatereduction_rep2_RNA"	"Week 8"	"Sulphate reduction"	2	"MEGAHIT-MetaBAT2Refined-group-2.27"	0.00834192273004536
"Nitrifying_Week8_Sulphatereduction_rep3_RNA"	"Week 8"	"Sulphate reduction"	3	"MEGAHIT-MetaBAT2Refined-group-2.27"	0.0172575693768017
"Nitrifying_Day0_rep1_RNA"	"Week 0"	"Inoculum"	1	"MBSoxNitrifying4mlFreshRep3_metaMDBG_complete.39"	1.5475948963887
"Nitrifying_Day0_rep2_RNA"	"Week 0"	"Inoculum"	2	"MBSoxNitrifying4mlFreshRep3_metaMDBG_complete.39"	1.49144395029463
"Nitrifying_Day0_rep3_RNA"	"Week 0"	"Inoculum"	3	"MBSoxNitrifying4mlFreshRep3_metaMDBG_complete.39"	1.51516652438163
"Nitrifying_Week4_Aerobic_rep1_RNA"	"Week 4"	"Aerobic"	1	"MBSoxNitrifying4mlFreshRep3_metaMDBG_complete.39"	0.443349136998281
"Nitrifying_Week4_Aerobic_rep2_RNA"	"Week 4"	"Aerobic"	2	"MBSoxNitrifying4mlFreshRep3_metaMDBG_complete.39"	0.0423450705765376
"Nitrifying_Week4_Aerobic_rep3_RNA"	"Week 4"	"Aerobic"	3	"MBSoxNitrifying4mlFreshRep3_metaMDBG_complete.39"	0.454230866847505
"Nitrifying_Week4_Ironreduction_rep1_RNA"	"Week 4"	"Iron reduction"	1	"MBSoxNitrifying4mlFreshRep3_metaMDBG_complete.39"	0.594182291889229
"Nitrifying_Week4_Ironreduction_rep2_RNA"	"Week 4"	"Iron reduction"	2	"MBSoxNitrifying4mlFreshRep3_metaMDBG_complete.39"	3.37521604124663
"Nitrifying_Week4_Ironreduction_rep3_RNA"	"Week 4"	"Iron reduction"	3	"MBSoxNitrifying4mlFreshRep3_metaMDBG_complete.39"	1.0170927095098
"Nitrifying_Week4_Nitratereduction_rep1_RNA"	"Week 4"	"Nitrate reduction"	1	"MBSoxNitrifying4mlFreshRep3_metaMDBG_complete.39"	0.970254574574367
"Nitrifying_Week4_Nitratereduction_rep2_RNA"	"Week 4"	"Nitrate reduction"	2	"MBSoxNitrifying4mlFreshRep3_metaMDBG_complete.39"	3.08040584623941
"Nitrifying_Week4_Sulphatereduction_rep1_RNA"	"Week 4"	"Sulphate reduction"	1	"MBSoxNitrifying4mlFreshRep3_metaMDBG_complete.39"	10.7348313201314
"Nitrifying_Week4_Sulphatereduction_rep2_RNA"	"Week 4"	"Sulphate reduction"	2	"MBSoxNitrifying4mlFreshRep3_metaMDBG_complete.39"	1.62696691578773
"Nitrifying_Week8_Aerobic_rep1_RNA"	"Week 8"	"Aerobic"	1	"MBSoxNitrifying4mlFreshRep3_metaMDBG_complete.39"	0.0090295194966869
"Nitrifying_Week8_Aerobic_rep2_RNA"	"Week 8"	"Aerobic"	2	"MBSoxNitrifying4mlFreshRep3_metaMDBG_complete.39"	0.0204415739402654
"Nitrifying_Week8_Aerobic_rep3_RNA"	"Week 8"	"Aerobic"	3	"MBSoxNitrifying4mlFreshRep3_metaMDBG_complete.39"	0.034704113186435
"Nitrifying_Week8_Ironreduction_rep3_RNA"	"Week 8"	"Iron reduction"	3	"MBSoxNitrifying4mlFreshRep3_metaMDBG_complete.39"	0.652442020780861
"Nitrifying_Week8_Nitratereduction_rep1_RNA"	"Week 8"	"Nitrate reduction"	1	"MBSoxNitrifying4mlFreshRep3_metaMDBG_complete.39"	2.41233161370306
