Nitrifying_Week4_Aerobic_rep3_RNA	Nitrifying_PelletRNA_Week4_Aerobic_tube6_rep3_S6_cleaned_R1.fastq.gz	pair1	noassembly	nobinning
Nitrifying_Week4_Aerobic_rep3_RNA	Nitrifying_PelletRNA_Week4_Aerobic_tube6_rep3_S6_cleaned_R2.fastq.gz	pair2	noassembly	nobinning
Nitrifying_Week4_Ironreduction_rep1_RNA	Nitrifying_PelletRNA_Week4_IronReduction_tube16_rep1_S9_cleaned_R1.fastq.gz	pair1	noassembly	nobinning
Nitrifying_Week4_Ironreduction_rep1_RNA	Nitrifying_PelletRNA_Week4_IronReduction_tube16_rep1_S9_cleaned_R2.fastq.gz	pair2	noassembly	nobinning
Nitrifying_Week4_Ironreduction_rep2_RNA	Nitrifying_PelletRNA_Week4_IronReduction_tube17_rep2_S10_cleaned_R1.fastq.gz	pair1	noassembly	nobinning
Nitrifying_Week4_Ironreduction_rep2_RNA	Nitrifying_PelletRNA_Week4_IronReduction_tube17_rep2_S10_cleaned_R2.fastq.gz	pair2	noassembly	nobinning
Nitrifying_Week4_Ironreduction_rep3_RNA	Nitrifying_PelletRNA_Week4_IronReduction_tube18_rep3_S11_cleaned_R1.fastq.gz	pair1	noassembly	nobinning
Nitrifying_Week4_Ironreduction_rep3_RNA	Nitrifying_PelletRNA_Week4_IronReduction_tube18_rep3_S11_cleaned_R2.fastq.gz	pair2	noassembly	nobinning
Nitrifying_Week4_Nitratereduction_rep1_RNA	Nitrifying_PelletRNA_Week4_NitrateReduction_tube10_rep1_S7_cleaned_R1.fastq.gz	pair1	noassembly	nobinning
Nitrifying_Week4_Nitratereduction_rep1_RNA	Nitrifying_PelletRNA_Week4_NitrateReduction_tube10_rep1_S7_cleaned_R2.fastq.gz	pair2	noassembly	nobinning
Nitrifying_Week4_Nitratereduction_rep2_RNA	Nitrifying_PelletRNA_Week4_NitrateReduction_tube11_rep2_S8_cleaned_R1.fastq.gz	pair1	noassembly	nobinning
Nitrifying_Week4_Nitratereduction_rep2_RNA	Nitrifying_PelletRNA_Week4_NitrateReduction_tube11_rep2_S8_cleaned_R2.fastq.gz	pair2	noassembly	nobinning
Nitrifying_Week4_Sulphatereduction_rep1_RNA	Nitrifying_PelletRNA_Week4_SulphateReduction_tube22_rep1_S12_cleaned_R1.fastq.gz	pair1	noassembly	nobinning
Nitrifying_Week4_Sulphatereduction_rep1_RNA	Nitrifying_PelletRNA_Week4_SulphateReduction_tube22_rep1_S12_cleaned_R2.fastq.gz	pair2	noassembly	nobinning
Nitrifying_Week4_Sulphatereduction_rep2_RNA	Nitrifying_PelletRNA_Week4_SulphateReduction_tube23_rep2_S13_cleaned_R1.fastq.gz	pair1	noassembly	nobinning
Nitrifying_Week4_Sulphatereduction_rep2_RNA	Nitrifying_PelletRNA_Week4_SulphateReduction_tube23_rep2_S13_cleaned_R2.fastq.gz	pair2	noassembly	nobinning
Nitrifying_Week8_Aerobic_rep1_RNA	Nitrifying_PelletRNA_Week8_Aerobic_tube4_rep1_S14_cleaned_R1.fastq.gz	pair1	noassembly	nobinning
Nitrifying_Week8_Aerobic_rep1_RNA	Nitrifying_PelletRNA_Week8_Aerobic_tube4_rep1_S14_cleaned_R2.fastq.gz	pair2	noassembly	nobinning
Nitrifying_Week8_Aerobic_rep2_RNA	Nitrifying_PelletRNA_Week8_Aerobic_tube5_rep2_S15_cleaned_R1.fastq.gz	pair1	noassembly	nobinning
Nitrifying_Week8_Aerobic_rep2_RNA	Nitrifying_PelletRNA_Week8_Aerobic_tube5_rep2_S15_cleaned_R2.fastq.gz	pair2	noassembly	nobinning
Nitrifying_Week8_Aerobic_rep3_RNA	Nitrifying_PelletRNA_Week8_Aerobic_tube6_rep3_S16_cleaned_R1.fastq.gz	pair1	noassembly	nobinning
